en-UK,en-US,ta-rLK,si-LK,nl-NL,zh-CN,nl-BE,fr-BE,de-BE,en-BE
Within Tolerance (green),Within Tolerance (green)(en_US),Within Tolerance (green)(ta-rLK),Within Tolerance (green)(si-LK),Within Tolerance (green)(nl-NL),Within Tolerance (green)(zh-CN),Within Tolerance (green)(nl-BE),Within Tolerance (green)(fr-BE),Within Tolerance (green)(de-BE),Within Tolerance (green)(en-BE)
Tolerance limit (orange),Tolerance limit (orange)(en_US),Tolerance limit (orange)(ta-rLK),Tolerance limit (orange)(si-LK),Tolerance limit (orange)(nl-NL),Tolerance limit (orange)(zh-CN),Tolerance limit (orange)(nl-BE),Tolerance limit (orange)(fr-BE),Tolerance limit (orange)(de-BE),Tolerance limit (orange)(en-BE)
Out of Tolerance (red),Out of Tolerance (red)(en_US),Out of Tolerance (red)(ta-rLK),Out of Tolerance (red)(si-LK),Out of Tolerance (red)(nl-NL),Out of Tolerance (red)(zh-CN),Out of Tolerance (red)(nl-BE),Out of Tolerance (red)(fr-BE),Out of Tolerance (red)(de-BE),Out of Tolerance (red)(en-BE)
